"ROW_ID","ROW_VERSION","participant_id","dt_passive","cloud_cover_IQR","cloud_cover_mean","cloud_cover_median","cloud_cover_std","dew_point_IQR","dew_point_mean","dew_point_median","dew_point_std","humidity_IQR","humidity_mean","humidity_median","humidity_std","precip_sum","temp_IQR","temp_mean","temp_median","temp_std"
"89743","68","EN00033","2016-08-13","0.12","0.09","0","0.13","2.02","76","75.87","1.06","0.27","0.69","0.67","0.13","0","14.48","87.93","88.45","6.63"
"89744","68","EN00033","2016-08-14","0.44","0.28","0.2","0.25","2.32","73.21","73.54","1.42","0.33","0.71","0.75","0.16","0.04","14.62","84.66","84.41","7.44"
"89745","68","EN00033","2016-08-15","0.71","0.36","0.22","0.35","2.54","71.7","71.07","1.43","0.32","0.77","0.81","0.16","0.51","16.34","80.3","77.27","8.2"
"89746","68","EN00033","2016-08-16","0.48","0.44","0.48","0.24","2.28","73.76","73.97","2.02","0.25","0.78","0.76","0.14","0.01","11.32","81.88","83.26","7.19"
"89747","68","EN00033","2016-08-17","0.31","0.45","0.49","0.23","0.74","71.56","71.45","0.72","0.32","0.75","0.78","0.17","0.49","12.69","81.1","81.12","7.11"
"89748","68","EN00033","2016-08-18","0.29","0.44","0.39","0.18","0.77","71.15","71.25","0.77","0.29","0.78","0.81","0.15","0","11.71","79.14","79.17","5.74"
"89749","68","EN00033","2016-08-19","0.15","0.19","0.19","0.1","1.71","66.35","66.64","1.51","0.37","0.68","0.7","0.17","0","14.16","78.65","79.47","6.82"
"89750","68","EN00033","2016-08-20","0.16","0.1","0.03","0.15","1.45","67.09","67.05","1.42","0.32","0.71","0.71","0.17","0","13.65","78.25","77.62","7.85"
"89751","68","EN00033","2016-08-21","0.26","0.65","0.79","0.31","4.33","70.96","72.16","3.94","0.06","0.85","0.86","0.06","0.34","5.25","75.92","75.89","4.7"
"89752","68","EN00033","2016-08-22","0.38","0.2","0.06","0.25","1.13","61.12","61.13","0.9","0.29","0.68","0.66","0.14","0","13.15","73.01","73.99","6.3"
"89753","68","EN00033","2016-08-23","0.21","0.21","0.19","0.17","1.66","60.48","60.63","1.44","0.38","0.69","0.64","0.17","0","18.01","72.4","73.59","8.13"
"89754","68","EN00033","2016-08-24","0","0","0","0","0.62","63.55","63.47","0.26","0.02","0.78","0.78","0.01","0","1.51","70.76","70.67","0.62"
"89755","68","EN00033","2016-08-25","0.54","0.32","0.36","0.27","9.27","70.5","73.28","4.74","0.19","0.77","0.77","0.09","0","16.19","78.75","79.56","7.53"
"89756","68","EN00033","2016-08-26","0.23","0.25","0.19","0.2","0.68","72.85","72.93","0.69","0.35","0.72","0.68","0.16","0","14.5","83.48","84.98","6.68"
"89757","68","EN00033","2016-08-27","0","0","0","0","0.11","66.85","66.82","0.05","0.03","0.86","0.86","0.01","0","1.11","71.42","71.38","0.45"
"89758","68","EN00033","2016-08-28","0.33","0.19","0.1","0.19","1.77","66.95","66.25","2.09","0.38","0.71","0.71","0.18","0","16.32","78.13","77.54","7.61"
"89759","68","EN00033","2016-08-29","0.23","0.16","0.11","0.14","3.13","68.86","69.56","1.94","0.32","0.72","0.75","0.15","0","17.65","79.63","79.86","8.05"
"89760","68","EN00033","2016-08-30","0.31","0.22","0.16","0.2","1.4","64.87","64.98","1.07","0.27","0.65","0.65","0.13","0","13.72","78.41","77.43","6.9"
"89761","68","EN00033","2016-08-31","0.27","0.4","0.36","0.18","0.9","68.78","70.04","2.63","0.26","0.74","0.76","0.14","0.03","11.47","78.58","79.28","8.01"
"89762","68","EN00033","2016-09-01","0.19","0.75","0.77","0.12","1.62","68.5","69.15","1.6","0.05","0.88","0.91","0.07","0.25","3.94","72.56","71.98","3.47"
"89763","68","EN00033","2016-09-02","0.51","0.18","0.03","0.23","0.29","59.69","59.72","0.12","0.04","0.8","0.8","0.02","0","1.26","66.01","66.04","0.51"
"89764","68","EN00033","2016-09-03","0.22","0.39","0.35","0.2","0.97","59.96","59.83","0.98","0.24","0.7","0.71","0.11","0","10.23","70.74","70.46","4.92"
"89765","68","EN00033","2016-09-04","0.16","0.22","0.21","0.17","2.46","58","58.87","1.78","0.31","0.65","0.66","0.15","0","10.34","71.46","70.94","5.48"
"89766","68","EN00033","2016-09-05","0.06","0.04","0","0.06","4.6","59.67","60.7","2.44","0.4","0.68","0.67","0.18","0","21.69","72.08","72.41","9.95"
"89767","68","EN00033","2016-09-06","0.055","0.78","0.915","0.12","4.835","62.675","64.18","2.8","0.06","0.655","0.685","0.065","0.01","5.605","75.145","75.505","3.53"
"89768","68","EN00033","2016-09-07","0.235","0.84","0.935","0.215","2.32","69.53","69.35","1.255","0.08","0.905","0.93","0.045","0.03","5.24","72.665","71.61","2.755"
"89769","68","EN00033","2016-09-08","0.31","0.72","0.91","0.33","1.44","68.9","68.91","0.78","0.11","0.88","0.9","0.08","0.02","5.29","73","71.54","3.41"
"89770","68","EN00033","2016-09-09","0.575","0.455","0.42","0.355","3.04","70.95","70.16","2.035","0.26","0.78","0.8","0.14","0","12.455","78.86","78.22","6.505"
"89771","68","EN00033","2016-09-10","0.33","0.79","0.78","0.19","2.46","68.77","68.63","1.29","0.19","0.8","0.84","0.11","0","5.78","75.53","73.92","3.16"
