/Users/demo/Library/CloudStorage/Box-Box/Holmes_lab_kaley/git_repos/hyperopt_repo/hyperopt/__init__.py
--- Dataset: v1_week ---
0:	learn: 2.1353040	total: 11.7ms	remaining: 3.39s
1:	learn: 2.0856586	total: 21.3ms	remaining: 3.07s
2:	learn: 2.0519686	total: 36.6ms	remaining: 3.5s
3:	learn: 2.0186689	total: 43ms	remaining: 3.07s
4:	learn: 1.9812623	total: 47.6ms	remaining: 2.71s
5:	learn: 1.9504300	total: 54.7ms	remaining: 2.59s
6:	learn: 1.9263357	total: 62.9ms	remaining: 2.54s
7:	learn: 1.9052790	total: 69.1ms	remaining: 2.44s
8:	learn: 1.8854574	total: 74.6ms	remaining: 2.33s
9:	learn: 1.8666977	total: 83.8ms	remaining: 2.35s
10:	learn: 1.8521198	total: 89.1ms	remaining: 2.26s
11:	learn: 1.8361448	total: 153ms	remaining: 3.55s
12:	learn: 1.8226246	total: 196ms	remaining: 4.17s
13:	learn: 1.8100373	total: 228ms	remaining: 4.49s
14:	learn: 1.7958596	total: 243ms	remaining: 4.45s
15:	learn: 1.7837988	total: 265ms	remaining: 4.54s
16:	learn: 1.7737466	total: 291ms	remaining: 4.67s
17:	learn: 1.7639287	total: 296ms	remaining: 4.47s
18:	learn: 1.7546891	total: 302ms	remaining: 4.3s
19:	learn: 1.7449044	total: 310ms	remaining: 4.18s
20:	learn: 1.7346911	total: 315ms	remaining: 4.04s
21:	learn: 1.7257429	total: 323ms	remaining: 3.94s
22:	learn: 1.7176833	total: 335ms	remaining: 3.89s
23:	learn: 1.7073181	total: 340ms	remaining: 3.76s
24:	learn: 1.6976212	total: 389ms	remaining: 4.13s
25:	learn: 1.6898891	total: 429ms	remaining: 4.36s
26:	learn: 1.6841034	total: 449ms	remaining: 4.37s
27:	learn: 1.6777627	total: 465ms	remaining: 4.35s
28:	learn: 1.6694207	total: 500ms	remaining: 4.5s
29:	learn: 1.6619606	total: 527ms	remaining: 4.57s
30:	learn: 1.6517177	total: 555ms	remaining: 4.64s
31:	learn: 1.6444629	total: 579ms	remaining: 4.67s
32:	learn: 1.6373696	total: 592ms	remaining: 4.61s
33:	learn: 1.6307240	total: 604ms	remaining: 4.55s
34:	learn: 1.6228139	total: 614ms	remaining: 4.47s
