/Users/demo/Library/CloudStorage/Box-Box/Holmes_lab_kaley/git_repos/hyperopt_repo/hyperopt/__init__.py
--- Dataset: v2_day ---
0:	learn: 2.1908860	total: 1.77ms	remaining: 479ms
1:	learn: 2.1846753	total: 3.04ms	remaining: 411ms
2:	learn: 2.1771251	total: 4.37ms	remaining: 392ms
3:	learn: 2.1683786	total: 5.65ms	remaining: 379ms
4:	learn: 2.1614490	total: 6.93ms	remaining: 370ms
5:	learn: 2.1566253	total: 8.27ms	remaining: 367ms
6:	learn: 2.1513660	total: 112ms	remaining: 4.25s
7:	learn: 2.1438191	total: 127ms	remaining: 4.2s
8:	learn: 2.1381025	total: 129ms	remaining: 3.76s
9:	learn: 2.1320520	total: 130ms	remaining: 3.4s
10:	learn: 2.1271088	total: 131ms	remaining: 3.11s
11:	learn: 2.1215724	total: 132ms	remaining: 2.87s
12:	learn: 2.1145714	total: 134ms	remaining: 2.66s
13:	learn: 2.1097692	total: 135ms	remaining: 2.49s
14:	learn: 2.1037234	total: 136ms	remaining: 2.33s
15:	learn: 2.0970094	total: 138ms	remaining: 2.2s
16:	learn: 2.0904415	total: 139ms	remaining: 2.08s
17:	learn: 2.0857401	total: 140ms	remaining: 1.98s
18:	learn: 2.0808309	total: 141ms	remaining: 1.88s
19:	learn: 2.0765802	total: 143ms	remaining: 1.8s
20:	learn: 2.0688550	total: 144ms	remaining: 1.72s
21:	learn: 2.0615489	total: 145ms	remaining: 1.65s
22:	learn: 2.0552166	total: 147ms	remaining: 1.59s
23:	learn: 2.0471669	total: 148ms	remaining: 1.53s
24:	learn: 2.0427998	total: 149ms	remaining: 1.47s
25:	learn: 2.0367985	total: 151ms	remaining: 1.42s
26:	learn: 2.0299380	total: 152ms	remaining: 1.38s
27:	learn: 2.0236862	total: 153ms	remaining: 1.33s
28:	learn: 2.0162517	total: 154ms	remaining: 1.29s
29:	learn: 2.0095656	total: 156ms	remaining: 1.26s
30:	learn: 2.0042714	total: 157ms	remaining: 1.22s
31:	learn: 1.9978270	total: 158ms	remaining: 1.19s
32:	learn: 1.9924800	total: 160ms	remaining: 1.16s
33:	learn: 1.9856719	total: 161ms	remaining: 1.13s
34:	learn: 1.9821298	total: 414ms	remaining: 2.81s
35:	learn: 1.9768985	total: 434ms	remaining: 2.84s
36:	learn: 1.9712731	total: 438ms	remaining: 2.78s
37:	learn: 1.9662390	total: 449ms	remaining: 2.76s
38:	learn: 1.9606481	total: 450ms	remaining: 2.69s
39:	learn: 1.9553942	total: 451ms	remaining: 2.62s
40:	learn: 1.9500682	total: 453ms	remaining: 2.55s
41:	learn: 1.9455455	total: 455ms	remaining: 2.49s
42:	learn: 1.9401812	total: 456ms	remaining: 2.43s
43:	learn: 1.9347286	total: 457ms	remaining: 2.37s
44:	learn: 1.9307254	total: 459ms	remaining: 2.32s
45:	learn: 1.9254377	total: 461ms	remaining: 2.26s
46:	learn: 1.9193621	total: 462ms	remaining: 2.21s
47:	learn: 1.9150698	total: 463ms	remaining: 2.16s
48:	learn: 1.9106036	total: 465ms	remaining: 2.11s
