iter	MultiClass
0	1.997526904
1	1.919735581
2	1.864444496
3	1.813450628
4	1.76817873
5	1.733063629
6	1.705505077
7	1.680682393
8	1.659413549
9	1.638694437
10	1.622242373
11	1.607928601
12	1.593133824
13	1.580241094
14	1.567601477
15	1.554852779
16	1.543586458
17	1.533164094
18	1.524143932
19	1.51266975
20	1.505241643
21	1.497065536
22	1.490634585
23	1.48335918
24	1.476061603
25	1.469416425
26	1.462607814
27	1.457070201
28	1.450830782
29	1.44450439
30	1.439172617
31	1.433488739
32	1.428213449
33	1.422981674
34	1.416972938
35	1.411755211
36	1.405634031
37	1.400594336
38	1.395665191
39	1.390933722
40	1.384769159
41	1.380155254
42	1.375160431
43	1.371621068
44	1.366884395
45	1.362535605
46	1.358237235
47	1.354248238
48	1.349201643
49	1.34498866
50	1.341190999
51	1.337316322
52	1.332118364
53	1.325969652
54	1.321805383
55	1.318172698
56	1.312363332
57	1.308787231
58	1.304184296
59	1.300762573
60	1.297138688
61	1.292680497
62	1.288953068
63	1.286039674
64	1.282922633
65	1.281012121
66	1.278816721
67	1.274113963
68	1.270350835
69	1.267508406
70	1.2644351
71	1.260377784
72	1.258208346
73	1.255756892
74	1.251875144
75	1.247686157
76	1.244787392
77	1.241472257
78	1.239393575
79	1.23472042
80	1.231769925
81	1.228394096
82	1.224652709
83	1.220509855
84	1.217021635
85	1.212699779
86	1.209935066
87	1.206519546
88	1.202375247
89	1.198757627
90	1.195654926
91	1.193139358
92	1.190046411
93	1.187042352
94	1.183194814
95	1.181009138
96	1.178474879
97	1.175745396
98	1.171967024
99	1.168274512
100	1.165422922
101	1.162542222
102	1.15860311
103	1.155654287
104	1.153091365
105	1.149168936
106	1.146664326
107	1.143265954
108	1.13992772
109	1.136018788
110	1.132245273
111	1.129215945
112	1.12716815
113	1.123348632
114	1.120636006
115	1.117901051
116	1.114895118
117	1.110662006
118	1.108489093
119	1.104527768
120	1.101951825
121	1.098227365
122	1.095176074
123	1.092409885
124	1.091040254
125	1.088608661
126	1.085200433
127	1.082113449
128	1.079433782
129	1.077209913
130	1.073900767
131	1.071181461
132	1.068128237
133	1.065166084
134	1.062909687
135	1.060655707
136	1.057576204
137	1.054925101
138	1.05294242
139	1.049574144
140	1.046226746
141	1.043536417
142	1.040365412
143	1.039120643
144	1.03676413
145	1.034507315
146	1.031356472
147	1.028541723
148	1.025315348
149	1.023037194
150	1.020068721
151	1.017088431
152	1.015080542
153	1.012476987
154	1.009559141
155	1.006543495
156	1.00374021
157	1.001077402
158	0.9989003584
159	0.996108526
160	0.994322491
161	0.9917518365
162	0.9903760833
163	0.9882368783
