iter	Passed	Remaining
0	3	598
1	7	608
2	11	608
3	15	616
4	19	619
5	23	613
6	27	610
7	30	602
8	35	603
9	38	598
10	42	596
11	46	592
12	50	591
13	54	585
14	58	581
15	62	579
16	66	575
17	70	570
18	74	567
19	78	564
20	82	561
21	86	557
22	90	553
23	94	549
24	98	545
25	102	541
26	106	538
27	109	534
28	113	529
29	117	524
30	121	520
31	125	516
32	128	511
33	132	507
34	136	503
35	140	499
36	144	495
37	148	492
38	152	489
39	156	486
40	160	482
41	164	479
42	169	476
43	173	472
44	177	469
45	181	465
46	185	462
47	190	459
48	194	456
49	198	452
50	202	447
51	206	443
52	210	439
53	213	435
54	218	432
55	222	428
56	226	424
57	230	420
58	234	416
59	238	413
60	242	409
61	246	405
62	250	401
63	254	397
64	258	394
65	263	390
66	267	386
67	271	382
68	275	378
69	279	375
70	283	371
71	287	367
72	291	363
73	295	359
74	299	355
75	303	351
76	307	347
77	311	343
78	316	340
79	320	336
80	324	332
81	328	328
82	332	324
83	336	320
84	340	316
85	344	312
86	349	308
87	353	304
88	357	300
89	361	296
90	365	292
91	369	288
92	373	285
93	377	281
94	381	277
95	385	273
96	389	269
97	393	265
98	397	261
99	402	257
100	405	253
101	409	249
102	413	245
103	417	241
104	421	236
105	425	232
106	429	228
107	433	224
108	437	220
109	441	216
110	445	212
111	450	208
112	454	205
113	458	200
114	462	196
115	465	192
116	469	188
117	473	184
118	477	180
119	481	176
120	485	172
121	489	168
122	493	164
123	497	160
124	501	156
125	504	152
126	508	148
127	512	144
128	516	140
129	520	136
130	524	132
131	528	128
132	532	124
133	536	120
134	540	116
135	544	112
136	548	108
137	552	104
138	556	100
139	559	95
140	564	92
141	567	87
142	571	83
143	576	80
144	580	76
145	584	72
146	588	68
147	591	63
148	595	59
149	599	55
150	603	51
151	607	47
152	611	43
153	615	39
154	619	35
155	623	31
156	627	27
157	631	23
158	635	19
159	639	15
160	642	11
161	646	7
162	650	3
163	654	0
