iter	RMSE
0	1.049079022
1	1.039126203
2	1.029950366
3	1.02145469
4	1.014423742
5	1.007273308
6	1.00136538
7	0.9958771038
8	0.9900297918
9	0.9846638165
10	0.9795793121
11	0.9742603576
12	0.970165766
13	0.9659637854
14	0.9620128655
15	0.9581593277
16	0.9545812094
17	0.9509585119
18	0.9481445044
19	0.945303069
20	0.9424415959
21	0.9396012734
22	0.9372406177
23	0.9346970915
24	0.932480592
25	0.9301785594
26	0.9280255059
27	0.9260871032
28	0.923776631
29	0.9216782799
30	0.9199305357
31	0.9180674174
32	0.9161596067
33	0.9145403136
34	0.912817351
35	0.9116569537
36	0.9097204082
37	0.9081903408
38	0.90672351
39	0.905492744
40	0.9043115479
41	0.9029462785
42	0.9014361902
43	0.899877216
44	0.8987087475
45	0.8968259144
46	0.8951714652
47	0.8942937607
48	0.893309013
49	0.8919900216
50	0.8906508295
51	0.8895908987
52	0.8886469008
53	0.8877238982
54	0.8870220319
55	0.8858863303
56	0.8849734433
57	0.8836957628
58	0.8829894782
59	0.8819124957
60	0.8809874879
61	0.879983271
62	0.8789993788
63	0.878111618
64	0.8771844048
65	0.875875994
66	0.8748814647
67	0.8741330272
68	0.8732515109
69	0.8726110184
70	0.8712447335
71	0.8703960677
72	0.8698500404
73	0.8689167409
74	0.8679878788
75	0.8671036158
76	0.8663559758
77	0.865857369
78	0.8646373034
79	0.8638353012
80	0.8628890476
81	0.8620485651
82	0.8616074211
83	0.861055647
84	0.8598255058
85	0.8590115153
86	0.8579900537
87	0.8577831828
88	0.8569986377
89	0.8563370986
90	0.8553518342
91	0.8544523282
92	0.8535628789
93	0.8524860103
94	0.8517328271
95	0.851140683
96	0.8506645895
97	0.8500691914
98	0.8489942724
99	0.8482687409
100	0.847348837
101	0.8468001798
102	0.846286998
103	0.8457631358
104	0.8454016278
105	0.8444620475
106	0.8435496938
107	0.8424997658
108	0.8420514977
109	0.8411991435
110	0.8407311507
111	0.840096442
112	0.8397721465
113	0.8389817578
114	0.8381410523
115	0.8374224548
116	0.8367612495
117	0.8366711875
118	0.8361866848
119	0.8354970538
120	0.8347717145
121	0.8339898795
122	0.8329425796
123	0.8324137292
124	0.8316389809
125	0.8308344172
126	0.8300314453
127	0.8291821292
128	0.8280557372
129	0.827472102
130	0.8269170093
131	0.8259924125
132	0.8253146222
133	0.8245335216
134	0.8236452105
135	0.8232280861
136	0.8223860038
137	0.8220256104
138	0.8209686215
139	0.8205468529
140	0.8198603451
141	0.8193362619
142	0.8185550159
143	0.8174321467
144	0.8166536398
145	0.815843856
146	0.8149623998
147	0.8143946487
148	0.8135676166
149	0.8128105129
150	0.8114933958
151	0.8108465185
152	0.8101928081
153	0.8095686266
154	0.8090859801
155	0.8082505784
156	0.8076389749
157	0.8071030117
158	0.8064701305
159	0.8055586563
160	0.804875542
161	0.8042131153
162	0.8036604203
163	0.8029331183
164	0.8022444979
165	0.8017082354
166	0.8010054083
167	0.8002509606
168	0.7997084387
169	0.799332884
170	0.7983137227
171	0.797765744
172	0.7970742872
173	0.7965498899
174	0.795845953
175	0.7952778389
176	0.7949138153
177	0.7943570316
178	0.7938402777
179	0.793178205
180	0.7924515441
181	0.791582541
182	0.790822781
183	0.7902444796
184	0.7897658618
185	0.7891093819
186	0.7881154019
187	0.7871976145
188	0.7867329767
189	0.786070123
190	0.7853996952
191	0.7846467221
192	0.7839835508
193	0.7832255952
194	0.7825935496
195	0.7821467216
196	0.7816144781
197	0.7810063993
198	0.7801768925
199	0.7796564215
200	0.7790983658
201	0.7785085343
202	0.7773669365
203	0.7768783924
204	0.7758340354
205	0.7750391908
206	0.7744032646
207	0.7735809177
208	0.7725773645
209	0.7719850082
210	0.7715431888
211	0.7705954825
212	0.7696782767
213	0.7690659715
214	0.7685101179
215	0.7679710433
216	0.7668923263
217	0.7657199478
218	0.7651108552
219	0.7647322627
220	0.7641998197
221	0.7632708527
222	0.7622624181
223	0.7614645025
224	0.7607409579
225	0.7597625002
226	0.7592107219
227	0.7586050346
228	0.7579303847
229	0.7564713202
230	0.756022867
231	0.7551913463
232	0.7547461218
233	0.7539172324
234	0.7535831508
235	0.7529753103
236	0.7523426423
237	0.7520120541
238	0.7512409134
239	0.7505772092
240	0.7501199033
241	0.7495572662
242	0.7491641486
243	0.7484968746
244	0.7478992032
245	0.7471134585
246	0.746659673
247	0.7458823597
248	0.745514345
249	0.7447646315
250	0.7442329254
251	0.7433398895
252	0.74246721
253	0.7412771484
254	0.7406855391
255	0.7402770076
256	0.7396908714
257	0.7391900788
258	0.7385166811
259	0.7374881198
260	0.7369426208
261	0.7362293213
262	0.7357653783
263	0.7349554883
264	0.7342942904
265	0.7337088802
266	0.7330679766
267	0.7326563119
268	0.7323787243
269	0.7319141754
270	0.7310051513
271	0.7299720383
272	0.7295380426
273	0.7286405094
274	0.7277450705
275	0.7269593355
276	0.7258030216
277	0.7253726137
278	0.7250284183
279	0.7240429065
280	0.7236456749
281	0.722899557
282	0.7219553884
283	0.7214356912
284	0.7205343022
285	0.7198932591
286	0.7192995898
287	0.7187870199
288	0.7179559869
289	0.717308304
290	0.716648404
291	0.716318654
292	0.7155498704
293	0.7152195834
294	0.7146865259
295	0.7143021994
296	0.7139006577
297	0.713494134
298	0.7133782658
299	0.7127305228
300	0.7121475252
301	0.711601262
302	0.7113206363
303	0.7110279886
304	0.7106571248
305	0.7103169816
306	0.7098259742
307	0.7092776521
308	0.7089892508
309	0.7085608763
310	0.7080952546
311	0.7075428045
312	0.7066305651
313	0.7060543336
314	0.705586417
315	0.7051380232
316	0.7045951088
317	0.7043316521
318	0.7039827759
319	0.7035546719
320	0.7027223275
321	0.7017404434
322	0.7012735281
323	0.7007928547
324	0.7003911714
325	0.6996249443
326	0.6994046748
327	0.6987895008
328	0.6980475191
329	0.6973970097
330	0.6965880841
331	0.6958881653
332	0.6954020914
333	0.6945951043
334	0.6940414893
335	0.6936345507
336	0.6932077769
337	0.6928047544
338	0.6923871579
339	0.6921670391
340	0.6916508127
341	0.6910704358
342	0.6905952698
343	0.6902158845
344	0.6897920109
345	0.689230632
346	0.6889333883
347	0.6882482829
348	0.6877518746
349	0.6873773878
350	0.6868820548
351	0.686539617
352	0.6861936219
353	0.6856697202
354	0.6853336719
355	0.685085356
356	0.6847044457
357	0.684387146
358	0.6841221319
359	0.6836196557
360	0.6831960808
361	0.6826502211
362	0.6821002103
363	0.6813584712
364	0.6809473972
365	0.6805989119
366	0.6801662539
367	0.6798155281
368	0.6792149685
369	0.6787016732
370	0.6779667872
371	0.6774344503
372	0.6767284836
373	0.6763151014
374	0.6759683088
375	0.6752273922
376	0.6749102985
377	0.6747180517
378	0.6739047278
379	0.6735846407
380	0.6733475514
381	0.6727377047
382	0.6722577081
383	0.6715862
384	0.671325291
385	0.6708966699
386	0.6702377482
387	0.6700491885
388	0.6695666608
389	0.6690880817
390	0.6687158009
391	0.668013432
392	0.6676570145
393	0.6670174812
394	0.6668108038
395	0.6664336537
396	0.6658835191
397	0.6654193813
398	0.6649204188
399	0.6645639113
400	0.6640501441
401	0.6633785903
402	0.6630998762
403	0.6625704707
404	0.6619387494
405	0.6617674978
406	0.6612400207
407	0.6607060213
408	0.6601320715
409	0.6597461232
410	0.6593309982
411	0.6589508956
412	0.6578847968
413	0.6575137141
414	0.6572072215
415	0.6565004215
416	0.6562371551
417	0.6557641969
418	0.6555954661
419	0.6550555868
420	0.6546093935
421	0.6539377637
422	0.6537270606
423	0.6531825129
424	0.6528250761
425	0.6526449009
426	0.6522292508
427	0.651755273
428	0.6512795895
429	0.6507157346
