iter	Passed	Remaining
0	0	344
1	0	325
2	1	350
3	1	347
4	1	345
5	2	348
6	2	339
7	2	338
8	3	332
9	3	329
10	3	327
11	4	335
12	4	332
13	4	328
14	4	327
15	5	326
16	5	326
17	5	324
18	6	352
19	7	354
20	7	351
21	7	348
22	8	347
23	8	345
24	8	342
25	9	341
26	9	339
27	9	338
28	10	337
29	10	336
30	10	335
31	11	333
32	11	335
33	11	334
34	12	334
35	12	335
36	12	334
37	13	335
38	13	336
39	13	334
40	14	334
41	14	334
42	15	333
43	15	332
44	15	332
45	16	334
46	16	335
47	16	335
48	17	347
49	18	346
50	18	346
51	19	346
52	19	347
53	19	347
54	20	347
55	20	346
56	20	346
57	21	346
58	21	345
59	22	345
60	22	346
61	22	346
62	23	345
63	23	345
64	24	345
65	24	345
66	24	345
67	25	345
68	25	345
69	25	344
70	27	353
71	27	353
72	27	352
73	28	352
74	28	352
75	28	351
76	29	350
77	29	349
78	29	349
79	30	348
80	30	349
81	31	348
82	32	356
83	32	356
84	33	356
85	33	355
86	33	355
87	34	354
88	34	354
89	34	353
90	35	352
91	35	351
92	36	351
93	36	351
94	36	349
95	37	348
96	37	348
97	37	347
98	38	346
99	38	346
100	38	346
101	39	345
102	39	345
103	40	344
104	40	343
105	40	343
106	41	343
107	41	343
108	41	342
109	42	342
110	42	341
111	42	340
112	43	339
113	43	338
114	43	338
115	44	337
116	44	336
117	45	336
118	45	335
119	45	335
120	46	335
121	46	334
122	46	333
123	47	333
124	47	332
125	47	332
126	48	331
127	48	331
128	49	331
129	49	330
130	49	330
131	50	330
132	50	329
133	50	329
134	51	329
135	51	328
136	52	328
137	52	328
138	52	327
139	53	327
140	53	326
141	53	325
142	54	325
143	54	325
144	55	325
145	55	324
146	55	324
147	56	324
148	56	323
149	57	323
150	57	322
151	57	322
152	58	322
153	58	322
154	59	322
155	59	322
156	59	321
157	60	321
158	60	320
159	61	320
160	61	320
161	61	320
162	62	319
163	62	319
164	62	318
165	63	317
166	63	317
167	64	317
168	64	316
169	64	316
170	65	315
171	65	315
172	65	314
173	66	314
174	66	314
175	66	313
176	67	312
177	67	312
178	68	312
179	68	311
180	68	311
181	69	311
182	69	310
183	70	310
184	70	310
185	70	310
186	71	309
187	71	309
188	72	309
189	72	309
190	72	308
191	73	308
192	73	307
193	73	307
194	74	306
195	75	308
196	75	307
197	75	307
198	76	306
199	76	306
200	77	306
201	77	305
202	77	305
203	78	305
204	78	305
205	79	304
206	79	304
207	79	304
208	80	303
209	80	303
210	81	302
211	81	302
212	81	301
213	82	301
214	82	301
215	82	300
216	83	300
217	83	299
218	83	299
219	84	298
220	84	298
221	84	297
222	85	297
223	85	296
224	85	296
225	86	295
226	86	295
227	86	294
228	87	293
229	87	293
230	88	293
231	88	292
232	88	292
233	89	291
234	89	291
235	89	290
236	90	290
237	90	289
238	90	289
239	91	289
240	91	288
241	91	288
242	92	287
243	92	287
244	93	286
245	93	286
246	93	286
247	94	285
248	94	285
249	95	285
250	95	285
251	96	285
252	96	285
253	96	284
254	97	284
255	97	283
256	98	283
257	98	282
258	98	282
259	99	281
260	99	281
261	99	281
262	100	280
263	100	280
264	101	281
265	101	281
266	102	280
267	102	280
268	103	280
269	103	279
270	103	279
271	104	279
272	104	278
273	104	278
274	105	277
275	105	277
276	105	276
277	106	276
278	106	276
279	107	275
280	107	275
281	108	275
282	108	275
283	109	275
284	109	274
285	109	274
286	110	274
287	110	274
288	111	273
289	111	273
290	111	272
291	112	272
292	112	272
293	113	271
294	113	271
295	113	270
296	114	270
297	114	269
298	114	269
299	115	269
300	115	268
301	116	268
302	116	268
303	116	267
304	117	267
305	117	266
306	118	266
307	119	267
308	119	267
309	119	266
310	120	266
311	120	266
312	121	265
313	121	265
314	121	265
315	122	264
316	122	264
317	122	263
318	123	263
319	123	263
320	124	262
321	124	262
322	125	262
323	125	262
324	125	261
325	126	261
326	126	261
327	127	260
328	127	260
329	127	259
330	128	259
331	128	259
332	129	258
333	129	258
334	129	258
335	130	257
336	130	257
337	131	256
338	131	256
339	131	255
340	132	255
341	132	254
342	132	254
343	133	254
344	133	253
345	134	253
346	134	253
347	134	252
348	135	252
349	135	252
350	136	251
351	136	251
352	136	250
353	137	250
354	137	249
355	137	249
356	138	248
357	138	248
358	138	248
359	139	247
360	139	247
361	139	246
362	140	246
363	140	245
364	141	245
365	141	245
366	141	244
367	142	244
368	142	244
369	143	244
370	144	244
371	144	244
372	145	243
373	145	243
374	145	242
375	146	242
376	146	242
377	146	241
378	147	241
379	147	240
380	148	240
381	148	240
382	148	239
383	149	239
384	149	238
385	149	238
386	150	238
387	150	237
388	151	237
389	151	236
390	151	236
391	152	236
392	152	235
393	152	235
394	153	234
395	153	234
396	154	234
397	154	233
398	154	233
399	155	232
400	155	232
401	155	231
402	156	231
403	156	230
404	156	230
405	157	229
406	157	229
407	157	229
408	158	228
409	158	228
410	159	227
411	159	227
412	159	227
413	160	226
414	160	226
415	160	225
416	161	225
417	161	225
418	162	224
419	162	224
420	162	223
421	163	223
422	164	224
423	164	223
424	165	223
425	165	222
426	165	222
427	166	221
428	166	221
429	167	221
430	167	221
431	167	220
432	168	220
433	168	219
434	168	219
435	169	219
436	169	218
437	170	218
438	170	218
439	171	217
440	171	217
441	171	216
442	172	216
443	172	215
444	172	215
445	173	215
446	173	214
447	173	214
448	174	213
449	174	213
450	174	212
451	175	212
452	175	212
453	176	211
454	176	211
455	176	210
456	177	210
457	177	210
458	177	209
459	178	209
460	178	208
461	178	208
462	179	207
463	179	207
464	179	206
465	180	206
466	180	206
467	180	205
468	181	205
469	181	205
470	182	204
471	182	204
472	183	203
473	183	203
474	183	203
475	184	202
476	184	202
477	184	201
478	185	201
479	185	200
480	185	200
481	186	200
482	186	199
483	186	199
484	187	198
485	187	198
486	188	198
487	189	198
488	189	198
489	189	197
490	190	197
491	190	196
492	191	196
493	191	196
494	191	195
495	192	195
496	192	194
497	192	194
498	193	194
499	193	193
500	193	193
501	194	192
502	195	193
503	195	192
504	196	192
505	196	191
506	196	191
507	197	190
508	197	190
509	198	190
510	198	189
511	198	189
512	199	189
513	199	188
514	199	188
515	200	187
516	200	187
517	201	187
518	201	186
519	201	186
520	202	185
521	202	185
522	202	185
523	203	184
524	203	184
525	204	184
526	204	183
527	204	183
528	205	182
529	205	182
530	205	181
531	206	181
532	206	181
533	207	180
534	207	180
535	207	179
536	208	179
537	208	179
538	208	178
539	209	178
540	209	177
541	210	177
542	210	177
543	210	176
544	211	176
545	211	176
546	212	175
547	212	175
548	212	174
549	213	174
550	214	174
551	214	174
552	214	173
553	215	173
554	215	172
555	216	172
556	216	172
557	216	171
558	217	171
559	217	170
560	218	170
561	218	170
562	218	169
563	219	169
564	219	169
565	220	168
566	220	168
567	220	167
568	221	167
569	221	166
570	221	166
571	222	166
572	222	165
573	223	165
574	223	165
575	224	165
576	225	165
577	225	164
578	226	164
579	226	164
580	227	163
581	227	163
582	227	163
583	228	162
584	228	162
585	229	161
586	229	161
587	230	161
588	230	160
589	230	160
590	231	160
591	231	159
592	232	159
593	232	158
594	232	158
595	233	158
596	233	157
597	233	157
598	234	156
599	234	156
600	234	155
601	235	155
602	235	155
603	236	154
604	236	154
605	237	154
606	237	153
607	237	153
608	238	152
609	238	152
610	238	152
611	239	151
612	239	151
613	239	150
614	240	150
615	240	150
616	241	149
617	241	149
618	241	148
619	242	148
620	242	147
621	242	147
622	243	147
623	243	146
624	244	146
625	244	146
626	244	145
627	245	145
628	245	144
629	246	144
630	247	144
631	247	144
632	248	143
633	248	143
634	248	143
635	249	142
636	249	142
637	249	141
638	250	141
639	250	141
640	251	140
641	251	140
642	251	139
643	252	139
644	252	139
645	252	138
646	253	138
647	253	137
648	254	137
649	254	137
650	254	136
651	255	136
652	255	135
653	255	135
654	256	135
655	256	134
656	257	134
657	257	133
658	257	133
659	258	133
660	258	132
661	259	132
662	259	131
663	259	131
664	260	131
665	260	130
666	261	130
667	261	129
668	261	129
669	262	129
670	262	128
671	263	128
672	264	128
673	264	127
674	264	127
675	265	127
676	265	126
677	266	126
678	266	126
679	266	125
680	267	125
681	267	124
682	268	124
683	268	124
684	269	123
685	269	123
686	269	122
687	270	122
688	270	122
689	270	121
690	271	121
691	271	120
692	272	120
693	272	120
694	272	119
695	273	119
696	273	119
697	274	118
698	274	118
699	274	117
700	275	117
701	275	117
702	276	116
703	276	116
704	276	115
705	277	115
706	277	115
707	277	114
708	278	114
709	278	113
710	279	113
711	279	113
712	279	112
713	280	112
714	280	111
715	281	111
716	281	111
717	281	110
718	282	110
719	282	109
720	282	109
721	283	109
722	283	108
723	284	108
724	284	107
725	284	107
726	285	107
727	285	106
728	285	106
